date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
548681360-07-17,-0.720243,1,0,0,0
548681360-08-16,-0.587012,1,0,0,0
548681381-08-16,-1.83928,1,0,0,0
548681381-09-15,-3.30737,1,0,0,0
548681381-11-24,-3.77454,1,0,0,0
548681381-12-24,-3.7685,1,0,0,0
548681382-03-04,-4.4913,1,0,0,0
548681382-04-03,-4.77082,1,0,0,0
548681382-06-12,-3.1975,1,0,0,0
548681382-07-12,-1.02533,1,0,0,0
548681382-09-20,-0.802285,1,0,0,0
548681382-10-20,-1.29036,1,0,0,0
548681382-12-29,-0.378611,1,0,0,0
548681383-01-28,0.345386,1,0,0,0
548681383-04-08,-3.4014,1,0,0,0
548681383-05-08,-2.41724,1,0,0,0
548681383-07-17,-1.60328,1,0,0,0
548681383-08-16,-7.1439,1,0,0,0
548681383-10-25,-1.80489,1,0,0,0
548681383-11-24,4.17737,1,0,33.286,0
548681384-02-02,4.21435,1,0,69.911,0
548681384-03-03,5.20914,1,0,102.589,0
548681384-05-12,8.20264,1,0,143.68,0
548681384-06-11,3.40821,1,0,169.155,0
548681384-08-20,-8.77836,1,0,188.715,0
548681384-09-19,-5.87791,1,0,202.024,0
548681384-11-28,-4.99909,1,0,208.855,0
548681384-12-28,-5.2408,1,0,209.092,0
548681385-03-08,-2.24071,1,0,149.678,0
548681385-04-07,-1.21594,1,0,140.19,0
548681385-06-16,-1.61782,1,0,126.073,0
548681385-07-16,-1.21697,1,0,107.568,0
548681385-09-24,4.19135,1,0,84.992,0
548681385-10-24,3.59483,1,0,58.732,0
548681386-01-02,5.49996,1,0,5.319,0
548681386-02-01,5.19942,1,0,0,0
548681386-04-12,4.68014,1,0,0,0
548681386-05-12,3.62675,1,0,0,0
548681386-07-21,3.83969,1,0,0,0
548681386-08-20,2.01916,1,0,0,0
548681386-10-29,0.873175,1,0,0,0
548681386-11-28,0.136092,1,0,0,0
548681387-02-06,-2.63914,1,0,0,0
548681387-03-08,-2.3101,1,0,0,0
548681387-05-17,1.18231,1,0,0,0
548681387-06-16,1.33783,1,0,0,0
548681387-08-25,1.07248,1,0,0,0
548681387-09-24,1.07692,1,0,0,0
548681387-12-03,0.851025,1,0,0,0
548681388-01-02,0.967291,1,0,0,0
548681409-01-02,-1.12119,1,0,0,0
548681409-02-01,-2.89396,1,0,0,0
548681409-04-12,-3.33074,1,0,0,0
548681409-05-12,-3.3275,1,0,0,0
548681409-07-21,-4.05312,1,0,0,0
548681409-08-20,-4.33547,1,0,0,0
548681409-10-29,-2.76507,1,0,0,0
548681409-11-28,-0.595752,1,0,0,0
548681410-02-06,-0.375571,1,0,0,0
548681410-03-08,-0.837652,1,0,0,0
548681410-05-17,0.099958,1,0,0,0
548681410-06-16,0.849664,1,0,0,0
548681410-08-25,-5.07336,1,0,0,0
548681410-09-24,-3.26219,1,0,0,0
548681410-12-03,-1.97608,1,0,0,0
548681411-01-02,-1.07895,1,0,0,0
