date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
548692691-06-15,20.9327,1,1,557.512,1
548692691-08-24,16.61,1,1,615.995,1
548692691-09-23,29.6497,1,1,667.724,1
548692691-12-02,15.2536,1,1,772.569,1
548692692-01-01,19.965,1,1,811.315,1
548692692-03-11,17.6904,1,1,840.292,1
548692692-04-10,13.1777,1,1,859.005,1
548692692-06-19,20.1031,1,1,867.137,1
548692692-07-19,17.9749,1,1,864.549,1
548692692-09-27,13.1875,1,1,837.464,1
548692692-10-27,13.6016,1,1,814.142,1
548692693-01-05,11.755,1,1,780.945,1
548692693-02-04,11.6929,1,1,738.443,1
548692693-04-15,13.6912,1,1,687.364,1
548692693-05-15,12.5307,1,1,628.583,1
548692693-07-24,10.3141,1,1,455.661,1
548692693-08-23,7.09834,1,1,398.169,1
548692693-11-01,7.87899,1,1,337.153,1
548692693-12-01,7.053,1,1,273.656,1
548692694-02-09,5.3508,1,1,208.766,1
548692694-03-11,4.46339,1,0,143.595,0
548692694-05-20,2.16028,1,0,15.057,0
548692694-06-19,1.01329,1,1,3.202,1
548692694-08-28,0.017686,1,1,0,1
548692694-09-27,2.09998,1,1,0,1
548692694-12-06,0.963724,1,0,0,0
548692695-01-05,0.14323,1,0,0,0
548692695-03-16,-0.239939,1,0,0,0
548692695-04-15,-0.236316,1,0,0,0
548692695-06-24,1.57989,1,0,0,0
548692695-07-24,1.74655,1,1,0,1
548692716-07-24,1.25946,1,1,0,1
548692716-08-23,0.697888,1,1,0,1
548692716-11-01,0.901896,1,0,0,0
548692716-12-01,-3.7281,1,0,0,0
548692717-02-09,-5.28002,1,0,0,0
548692717-03-11,-5.61088,1,0,0,0
548692717-05-20,-5.82018,1,0,0,0
548692717-06-19,-6.49712,1,0,0,0
548692717-08-28,-6.00978,1,0,0,0
548692717-09-27,-7.31803,1,0,0,0
548692717-12-06,-7.44457,1,0,42.782,0
548692718-01-05,-10.3052,1,0,99.487,0
548692718-03-16,2.08358,1,0,157.434,0
548692718-04-15,2.90996,1,0,215.634,0
548692718-06-24,6.61151,1,0,363.67,0
548692718-07-24,9.51477,1,0,437.886,0
548692718-10-02,11.8971,1,0,508.536,0
548692718-11-01,13.2645,1,0,574.411,0
548692719-01-10,12.536,1,0,634.386,0
548692719-02-09,14.7886,1,0,687.437,0
548692719-04-20,8.71694,1,0,788.221,0
548692719-05-20,6.54305,1,1,827.613,1
548692719-07-29,11.0048,1,1,857.077,1
548692719-08-28,12.9605,1,1,876.11,1
548692719-11-06,14.3224,1,1,884.387,1
548692719-12-06,8.26987,1,1,881.769,1
548692720-02-14,13.5215,1,1,832.894,1
548692720-03-15,13.1929,1,1,809.793,1
548692720-05-24,11.8994,1,1,776.904,1
548692720-06-23,12.5514,1,1,734.792,1
548692720-09-01,8.03269,1,1,684.178,1
548692720-10-01,5.56925,1,1,625.931,1
548692720-12-10,4.71023,1,1,439.536,1
548692721-01-09,3.15965,1,1,384.377,1
548692721-03-20,2.48888,1,1,325.834,1
548692721-04-19,4.83569,1,1,264.91,1
548692721-06-28,2.53105,1,1,202.649,1
548692721-07-28,4.04259,1,1,140.115,1
548692721-10-06,1.58143,1,1,15.247,1
548692721-11-05,3.28654,1,1,3.599,1
548692722-01-14,2.3335,1,1,0,1
548692722-02-13,0.204887,1,0,0,0
548692722-04-24,-0.17696,1,0,0,0
548692722-05-24,-4.94223,1,1,0,1
548692722-08-02,2.01342,1,1,0,1
548692722-09-01,-1.50775,1,0,0,0
548692722-11-10,2.22645,1,0,0,0
548692722-12-10,1.83233,1,0,0,0
548692743-12-10,2.43947,1,1,0,1
548692744-01-09,2.22274,1,0,0,0
548692744-03-19,2.24315,1,0,0,0
548692744-04-18,2.33735,1,0,0,0
548692744-06-27,2.45348,1,0,0,0
548692744-07-27,0.443306,1,0,0,0
548692744-10-05,-1.57563,1,0,0,0
548692744-11-04,-1.63243,1,0,0,0
548692745-01-13,-1.68914,1,0,0,0
548692745-02-12,-3.12854,1,0,0,0
548692745-04-23,-4.66848,1,0,42.608,0
548692745-05-23,-1.55395,1,0,96.569,0
548692745-08-01,1.09559,1,0,151.714,0
548692745-08-31,5.09449,1,0,207.1,0
548692745-11-09,1.59625,1,0,342.572,0
548692745-12-09,-0.402497,1,0,411.981,0
548692746-02-17,-7.35158,1,1,478.057,1
548692746-03-19,6.78824,1,1,539.67,1
548692746-05-28,18.7914,1,1,595.766,1
548692746-06-27,5.86171,1,1,645.388,1
548692746-09-05,7.08363,1,1,757.464,1
548692746-10-05,14.0823,1,1,795.194,1
548692746-12-14,20.8148,1,1,823.419,1
548692747-01-13,16.7943,1,1,841.657,1
548692747-03-24,11.4887,1,1,849.598,1
548692747-04-23,20.4326,1,1,847.107,1
548692747-07-02,12.2179,1,1,828.382,1
548692747-08-01,15.1897,1,1,805.498,1
548692747-10-10,13.7182,1,1,772.913,1
548692747-11-09,11.7345,1,1,731.185,1
548692748-01-18,9.09436,1,1,681.03,1
548692748-02-17,7.52244,1,1,623.306,1
548692748-04-27,10.0673,1,1,454.652,1
548692748-05-27,5.61498,1,1,397.897,1
548692748-08-05,8.29646,1,1,337.659,1
548692748-09-04,5.21455,1,1,274.969,1
548692748-11-13,3.15153,1,1,210.901,1
548692748-12-13,4.77937,1,1,146.551,1
548692749-02-21,3.90178,1,0,16.649,0
548692749-03-23,2.98996,1,0,4.291,0
548692749-06-01,1.22577,1,0,0,0
548692749-07-01,-0.88898,1,0,0,0
548692749-09-09,-1.81988,1,0,0,0
548692749-10-09,-3.78478,1,0,0,0
548692749-12-18,-3.45894,1,0,0,0
548692750-01-17,-3.48462,1,0,0,0
548692750-03-28,-1.97679,1,0,0,0
548692750-04-27,-2.88453,1,0,0,0
548692771-04-27,1.9136,1,0,0,0
548692771-05-27,2.93086,1,0,0,0
548692771-08-05,4.83152,1,1,0,1
548692771-09-04,0.84968,1,1,0,1
548692771-11-13,2.32052,1,0,0,0
548692771-12-13,0.334258,1,0,0,0
548692772-02-21,1.31301,1,1,0,1
548692772-03-22,-1.19285,1,1,0,1
548692772-05-31,-5.20092,1,1,0,1
548692772-06-30,-3.16423,1,0,0,0
548692772-09-08,-0.932791,1,0,46.575,0
548692772-10-08,6.90831,1,0,103.127,0
548692772-12-17,6.95734,1,0,160.921,0
548692773-01-16,10.6282,1,1,218.97,1
548692773-03-27,1.56799,1,0,369.441,0
548692773-04-26,3.3296,1,0,443.779,0
548692773-07-05,6.02887,1,0,514.551,0
548692773-08-04,6.04618,1,0,580.544,0
548692773-10-13,6.32889,1,0,640.632,0
548692773-11-12,11.1823,1,0,693.788,0
548692774-01-21,18.8958,1,0,787.418,0
548692774-02-20,13.9723,1,1,826.518,1
548692774-05-01,23.9455,1,1,855.773,1
548692774-05-31,20.8115,1,0,874.684,0
548692774-08-09,27.9184,1,1,882.928,1
548692774-09-08,17.4096,1,1,880.367,1
548692774-11-17,13.9267,1,1,827.652,1
548692774-12-17,7.8428,1,1,804.882,1
548692775-02-25,18.8023,1,1,772.451,1
548692775-03-27,16.3834,1,1,730.914,1
548692775-06-05,13.6013,1,1,680.984,1
548692775-07-05,17.0153,1,1,623.516,1
548692775-09-13,17.9363,1,1,407.737,1
548692775-10-13,9.24188,1,1,357.104,1
548692775-12-22,5.76595,1,1,303.361,1
548692776-01-21,7.14155,1,1,247.428,1
548692776-03-31,6.30932,1,1,190.263,1
548692776-04-30,4.37783,1,1,132.845,1
548692776-07-09,2.82772,1,1,16.616,1
548692776-08-08,1.3857,1,1,4.619,1
548692776-10-17,0.18411,1,0,0,0
548692776-11-16,-1.9713,1,0,0,0
548692777-01-25,-3.60896,1,1,0,1
548692777-02-24,-3.74395,1,1,0,1
548692777-05-05,-3.33394,1,1,0,1
548692777-06-04,-9.36367,1,1,0,1
548692777-08-13,-1.40008,1,1,0,1
548692777-09-12,-5.4583,1,0,0,0
548692798-09-12,1.79843,1,0,0,0
548692798-10-12,3.07331,1,0,0,0
548692798-12-21,3.02215,1,0,0,0
548692799-01-20,2.9923,1,0,0,0
548692799-03-31,4.9811,1,0,0,0
548692799-04-30,3.4861,1,0,0,0
548692799-07-09,12.3902,1,1,0,1
548692799-08-08,1.95473,1,0,0,0
548692799-10-17,1.92483,1,0,0,0
548692799-11-16,-0.878851,1,0,0,0
548692800-01-25,-0.77956,1,0,35.508,0
548692800-02-24,3.42482,1,1,76.967,1
548692800-05-04,7.08095,1,0,119.339,0
548692800-06-03,11.1289,1,0,161.9,0
548692800-08-12,14.9808,1,0,182.274,0
548692800-09-11,15.0067,1,0,218.71,0
548692800-11-20,12.9499,1,0,253.398,0
548692800-12-20,12.7046,1,0,285.747,0
548692801-02-28,12.0161,1,0,315.202,0
548692801-03-30,17.137,1,0,341.261,0
548692801-06-08,23.0211,1,0,301.697,0
548692801-07-08,22.0518,1,0,316.634,0
548692801-09-16,22.931,1,0,327.813,0
548692801-10-16,22.0513,1,0,335.042,0
548692801-12-25,22.215,1,0,338.198,0
548692802-01-24,20.1799,1,0,337.229,0
548692802-04-04,20.5705,1,0,183.168,0
548692802-05-04,17.8894,1,0,178.15,0
548692802-07-13,16.2423,1,0,171,0
548692802-08-12,16.5524,1,0,161.841,0
548692802-10-21,17.0241,1,0,150.831,0
548692802-11-20,15.6122,1,0,138.157,0
548692803-01-29,13.7721,1,0,75.635,0
548692803-02-28,13.8023,1,0,66.29,0
548692803-05-09,12.4705,1,0,56.372,0
548692803-06-08,7.67093,1,0,46.048,0
548692803-08-17,4.59242,1,0,35.497,0
548692803-09-16,3.66719,1,0,24.899,0
548692803-11-25,2.99193,1,0,1.222,0
548692803-12-25,2.14557,1,0,0.363,0
548692804-03-04,-0.439705,1,0,0,0
548692804-04-03,-2.55147,1,0,0,0
548692804-06-12,-4.0457,1,0,0,0
548692804-07-12,-5.47933,1,0,0,0
548692804-09-20,-4.74022,1,0,0,0
548692804-10-20,-3.75932,1,0,0,0
548692804-12-29,-3.11792,1,0,0,0
548692805-01-28,-2.72643,1,0,0,0
548692826-01-28,0.251721,1,0,0,0
548692826-02-27,0.192662,1,0,0,0
548692826-05-08,0.366936,1,0,0,0
548692826-06-07,0.951845,1,0,0,0
548692826-08-16,2.96834,1,0,0,0
548692826-09-15,2.513,1,0,0,0
548692826-11-24,3.64525,1,0,0,0
548692826-12-24,3.72567,1,0,0,0
548692827-03-04,4.12918,1,0,0,0
548692827-04-03,2.82577,1,0,0,0
548692827-06-12,2.81482,1,0,7.004,0
548692827-07-12,2.80377,1,0,14.89,0
548692827-09-20,3.25208,1,0,22.951,0
548692827-10-20,10.7527,1,0,31.047,0
548692827-12-29,9.37252,1,0,83.812,0
548692828-01-28,18.583,1,1,100.461,1
548692828-04-07,19.2991,1,0,116.311,0
548692828-05-07,18.8604,1,0,131.094,0
548692828-07-16,18.7531,1,0,144.555,0
548692828-08-15,19.5694,1,0,156.465,0
548692828-10-24,26.8493,1,0,319.886,0
548692828-11-23,20.1204,1,1,335.681,1
548692829-02-01,33.6446,1,1,347.504,1
548692829-03-03,17.5358,1,1,355.153,1
548692829-05-12,25.6235,1,0,358.499,0
548692829-06-11,27.6842,1,0,357.485,0
548692829-08-20,30.1134,1,0,454.62,0
548692829-09-19,37.8177,1,1,442.217,1
548692829-11-28,22.4314,1,1,424.54,1
548692829-12-28,10.4411,1,1,401.891,1
548692830-03-08,6.689,1,1,374.66,1
548692830-04-07,17.2492,1,0,343.312,0
548692830-06-16,32.3045,1,1,311.909,1
548692830-07-16,19.5368,1,1,273.567,1
548692830-09-24,4.66681,1,1,232.867,1
548692830-10-24,12.0742,1,0,190.504,0
548692831-01-02,8.58889,1,0,147.205,0
548692831-02-01,7.27005,1,0,103.71,0
548692831-04-12,3.94604,1,0,18.436,0
548692831-05-12,1.73895,1,0,5.796,0
548692831-07-21,-0.876633,1,0,0,0
548692831-08-20,-1.17582,1,0,0,0
548692831-10-29,1.50243,1,0,0,0
548692831-11-28,1.60283,1,0,0,0
548692832-02-06,1.72189,1,0,0,0
548692832-03-07,1.35349,1,0,0,0
548692832-05-16,-0.670683,1,0,0,0
548692832-06-15,0.190015,1,1,0,1
548692853-06-15,-1.61766,1,1,0,1
548692853-07-15,-2.4329,1,1,0,1
548692853-09-23,4.49293,1,1,0,1
548692853-10-23,-2.7002100000000002,1,1,0,1
548692854-01-01,1.02591,1,1,0,1
548692854-01-31,1.40979,1,1,0,1
548692854-04-11,-1.43656,1,1,0,1
548692854-05-11,0.457276,1,0,0,0
548692854-07-20,1.03362,1,0,0,0
548692854-08-19,1.46712,1,1,0,1
548692854-10-28,3.19052,1,1,47.617,1
548692854-11-27,2.36768,1,0,99.448,0
548692855-02-05,1.88287,1,0,152.426,0
548692855-03-07,6.36433,1,0,205.644,0
548692855-05-16,8.98691,1,0,340.719,0
548692855-06-15,13.2598,1,0,407.994,0
548692855-08-24,19.471800000000002,1,0,472.049,0
548692855-09-23,19.0885,1,1,531.79,1
548692855-12-02,19.9979,1,1,586.195,1
548692856-01-01,17.4668,1,1,634.334,1
548692856-03-11,18.1342,1,1,722.211,1
548692856-04-10,22.2944,1,1,757.779,1
548692856-06-19,17.7008,1,1,784.411,1
548692856-07-19,11.3046,1,1,801.652,1
548692856-09-27,22.2855,1,1,809.208,1
548692856-10-27,20.0326,1,1,806.952,1
548692857-01-05,23.0999,1,1,718.178,1
548692857-02-04,18.725,1,0,698.667,0
548692857-04-15,17.3962,1,1,670.85,1
548692857-05-15,14.3343,1,1,635.201,1
548692857-07-24,15.5276,1,1,592.334,1
548692857-08-23,14.9319,1,0,542.981,0
548692857-11-01,15.3876,1,0,381.023,0
548692857-12-01,11.804,1,0,334.417,0
548692858-02-09,15.1957,1,1,284.94,1
548692858-03-11,8.33601,1,1,233.44,1
548692858-05-20,6.25849,1,1,180.799,1
548692858-06-19,7.25918,1,0,127.917,0
548692858-08-28,6.58905,1,0,23.278,0
548692858-09-27,1.34769,1,0,7.701,0
548692858-12-06,-2.52647,1,0,0,0
548692859-01-05,-2.49797,1,0,0,0
548692859-03-16,1.43267,1,0,0,0
548692859-04-15,4.19112,1,1,0,1
548692859-06-24,-1.48253,1,1,0,1
548692859-07-24,1.71295,1,1,0,1
548692859-10-02,2.03235,1,1,0,1
548692859-11-01,0.930851,1,1,0,1
548692880-10-31,0.790556,1,0,0,0
548692880-11-30,-1.17332,1,0,0,0
548692881-02-08,-0.556813,1,1,0,1
548692881-03-10,-3.91576,1,1,0,1
548692881-05-19,-0.638911,1,1,0,1
548692881-06-18,-1.86511,1,1,0,1
548692881-08-27,0.973753,1,1,0,1
548692881-09-26,-0.151466,1,1,0,1
548692881-12-05,-3.70204,1,1,0,1
548692882-01-04,-3.33337,1,1,0,1
548692882-03-15,-1.33121,1,1,54.528,1
548692882-04-14,-0.582376,1,1,112.046,1
548692882-06-23,0.274142,1,1,170.839,1
548692882-07-23,2.32124,1,1,229.901,1
548692882-10-01,7.23527,1,1,373.393,1
548692882-10-31,10.6724,1,1,446.698,1
548692883-01-09,15.3224,1,1,516.499,1
548692883-02-08,20.2501,1,1,581.603,1
548692883-04-19,16.289,1,1,640.897,1
548692883-05-19,27.161,1,1,693.367,1
548692883-07-28,19.2153,1,1,795.594,1
548692883-08-27,35.0834,1,1,834.684,1
548692883-11-05,23.79,1,1,863.961,1
548692883-12-05,31.9832,1,1,882.927,1
548692884-02-13,20.1065,1,1,891.256,1
548692884-03-14,14.3333,1,1,888.81,1
548692884-05-23,26.2535,1,1,856.888,1
548692884-06-22,17.372,1,1,833.709,1
548692884-08-31,21.7633,1,1,800.646,1
548692884-09-30,9.20877,1,1,758.266,1
548692884-12-09,17.7589,1,1,707.296,1
548692885-01-08,15.1556,1,1,648.608,1
548692885-03-19,12.3227,1,1,471.734,1
548692885-04-18,16.2805,1,1,414.311,1
548692885-06-27,12.0804,1,1,353.348,1
548692885-07-27,14.4559,1,1,289.888,1
548692885-10-05,7.38929,1,1,225.018,1
548692885-11-04,10.8749,1,0,159.849,0
548692886-01-13,6.37176,1,0,25.107,0
548692886-02-12,1.406,1,0,8.692,0
548692886-04-23,-3.83076,1,0,0,0
548692886-05-23,-1.79003,1,0,0,0
548692886-08-01,1.68033,1,0,0,0
548692886-08-31,1.7408,1,0,0,0
548692886-11-09,0.596379,1,0,0,0
548692886-12-09,-5.03509,1,0,0,0
548692887-02-17,-4.37302,1,1,0,1
548692887-03-19,-5.80948,1,1,0,1
548692908-03-19,-2.03406,1,1,0,1
548692908-04-18,-4.47397,1,1,0,1
548692908-06-27,-2.57881,1,1,0,1
548692908-07-27,-8.12145,1,1,0,1
548692908-10-05,-5.47093,1,1,0,1
548692908-11-04,-6.1556,1,1,0,1
548692909-01-13,-6.93277,1,1,0,1
548692909-02-12,-6.2113,1,0,0,0
548692909-04-23,-5.49741,1,1,0,1
548692909-05-23,-2.28656,1,0,0.887,0
548692909-08-01,-2.18116,1,0,55.817,0
548692909-08-31,-0.325875,1,0,112.996,0
548692909-11-09,1.80137,1,0,171.445,0
548692909-12-09,4.20949,1,0,230.166,0
548692910-02-17,7.39181,1,0,380.697,0
548692910-03-19,11.4583,1,0,455.031,0
548692910-05-28,12.6463,1,0,525.816,0
548692910-06-27,11.8691,1,1,591.842,1
548692910-09-05,13.7278,1,1,651.981,1
548692910-10-05,18.3622,1,0,705.205,0
548692910-12-14,19.6661,1,0,807.903,0
548692911-01-13,29.3326,1,1,847.511,1
548692911-03-24,15.8723,1,1,877.186,1
548692911-04-23,17.1624,1,1,896.422,1
548692911-07-02,12.2419,1,1,904.891,1
548692911-08-01,16.5688,1,1,902.449,1
548692911-10-10,18.0062,1,1,861.101,1
548692911-11-09,12.3542,1,1,837.908,1
548692912-01-18,11.6552,1,1,804.81,1
548692912-02-17,9.68375,1,1,762.374,1
548692912-04-27,12.952,1,1,711.327,1
548692912-05-27,10.1487,1,1,652.545,1
548692912-08-05,12.3406,1,1,475.663,1
548692912-09-04,8.39257,1,1,418.036,1
548692912-11-13,9.49286,1,1,356.853,1
548692912-12-13,9.13637,1,1,293.159,1
548692913-02-21,7.03455,1,1,228.047,1
548692913-03-23,5.25013,1,1,162.63,1
548692913-06-01,6.08876,1,0,26.626,0
548692913-07-01,1.6902,1,0,9.601,0
548692913-09-09,-3.55216,1,0,0,0
548692913-10-09,-3.63731,1,0,0,0
548692913-12-18,-3.72256,1,0,0,0
548692914-01-17,-2.30795,1,0,0,0
548692914-03-28,-6.17769,1,0,0,0
548692914-04-27,-4.49322,1,0,0,0
548692914-07-06,-3.57243,1,0,0,0
548692914-08-05,-4.90357,1,0,0,0
548692935-08-05,-4.99675,1,0,0,0
548692935-09-04,-8.01972,1,1,0,1
548692935-11-13,-5.48384,1,0,0,0
548692935-12-13,-5.92239,1,0,0,0
548692936-02-21,-5.59785,1,0,0,0
548692936-03-22,-6.41623,1,0,0,0
548692936-05-31,-5.97906,1,0,0,0
548692936-06-30,-6.56418,1,0,0,0
548692936-09-08,-7.83762,1,0,0,0
548692936-10-08,-8.32656,1,0,2.297,0
548692936-12-17,-0.604032,1,0,54.163,0
548692937-01-16,0.105429,1,0,108.156,0
548692937-03-27,2.95372,1,0,163.352,0
548692937-04-26,5.04625,1,0,218.808,0
548692937-07-05,8.31722,1,0,368.539,0
548692937-08-04,14.1349,1,0,440.128,0
548692937-10-13,13.5947,1,0,508.305,0
548692937-11-12,13.8493,1,0,571.903,0
548692938-01-21,15.202,1,1,629.835,1
548692938-02-20,12.8307,1,1,681.112,1
548692938-05-01,13.9296,1,1,704.58,1
548692938-05-31,25.085,1,1,739.054,1
548692938-08-09,20.5835,1,1,764.891,1
548692938-09-08,13.3876,1,1,781.652,1
548692938-11-17,22.4189,1,1,789.05,1
548692938-12-17,13.6771,1,1,786.959,1
548692939-02-25,20.3455,1,1,621.272,1
548692939-03-27,14.4568,1,1,604.611,1
548692939-06-05,13.2902,1,1,580.823,1
548692939-07-05,13.7219,1,1,550.315,1
548692939-09-13,10.8842,1,1,513.609,1
548692939-10-13,14.6505,1,1,471.336,1
548692939-12-22,12.0277,1,1,349.256,1
548692940-01-21,6.98324,1,1,307.14,1
548692940-03-31,8.46979,1,1,262.421,1
548692940-04-30,7.17231,1,1,215.865,1
548692940-07-09,6.2625,1,1,168.268,1
548692940-08-08,4.32827,1,1,120.446,1
548692940-10-17,1.38251,1,0,19.49,0
548692940-11-16,0.624008,1,0,7.291,0
548692941-01-25,-6.44886,1,1,0,1
548692941-02-24,3.90753,1,1,0,1
548692941-05-05,-7.9928,1,1,0,1
548692941-06-04,-2.13618,1,0,0,0
548692941-08-13,-2.33105,1,0,0,0
548692941-09-12,-2.21982,1,0,0,0
548692941-11-21,-3.01096,1,0,0,0
548692941-12-21,-3.72342,1,1,0,1
548692962-12-21,-2.33957,1,1,0,1
548692963-01-20,-8.83676,1,1,0,1
548692963-03-31,-7.90099,1,1,0,1
548692963-04-30,-6.49842,1,1,0,1
548692963-07-09,-3.47642,1,1,0,1
548692963-08-08,-3.01678,1,1,0,1
548692963-10-17,-5.89105,1,0,0,0
548692963-11-16,-11.1409,1,1,0,1
548692964-01-25,-4.05619,1,0,0,0
548692964-02-24,-3.29293,1,0,1.777,0
548692964-05-04,0.551927,1,0,26.754,0
548692964-06-03,0.567264,1,0,52.756,0
548692964-08-12,4.21867,1,1,79.34,1
548692964-09-11,5.92336,1,0,106.051,0
548692964-11-20,9.25961,1,0,186.148,0
548692964-12-20,17.7882,1,0,222.131,0
548692965-02-28,18.6565,1,0,256.402,0
548692965-03-30,19.8381,1,0,288.374,0
548692965-06-08,20.7129,1,0,317.5,0
548692965-07-08,22.4966,1,0,343.284,0
548692965-09-16,23.3475,1,0,293.086,0
548692965-10-16,23.5625,1,1,307.4,1
548692965-12-25,23.1469,1,1,318.132,1
548692966-01-24,23.2701,1,1,325.1,1
548692966-04-04,7.72616,1,1,328.183,1
548692966-05-04,17.7758,1,0,327.331,0
548692966-07-13,15.0286,1,0,489.424,0
548692966-08-12,22.3439,1,1,476.356,1
548692966-10-21,15.3285,1,0,457.688,0
548692966-11-20,15.829,1,0,433.738,0
548692967-01-29,15.7383,1,0,404.919,0
548692967-02-28,14.4871,1,0,371.722,0
548692967-05-09,13.2796,1,0,182.893,0
548692967-06-08,12.5397,1,0,160.938,0
548692967-08-17,9.85967,1,0,137.625,0
548692967-09-16,8.00082,1,0,113.353,0
548692967-11-25,7.04259,1,0,88.536,0
548692967-12-25,6.88178,1,0,63.599,0
548692968-03-04,2.8124,1,0,5.753,0
548692968-04-03,0.582807,1,0,2.225,0
548692968-06-12,-1.82916,1,0,0,0
548692968-07-12,-1.40542,1,0,0,0
548692968-09-20,-1.39715,1,0,0,0
548692968-10-20,-1.06433,1,0,0,0
548692968-12-29,-2.14317,1,0,0,0
548692969-01-28,-1.52382,1,0,0,0
548692969-04-08,-2.04221,1,0,0,0
548692969-05-08,-3.41853,1,0,0,0
548692990-05-08,-3.59182,1,0,0,0
548692990-06-07,-4.33994,1,0,0,0
548692990-08-16,-5.56433,1,0,0,0
548692990-09-15,-6.87161,1,0,0,0
548692990-11-24,-6.80927,1,0,0,0
548692990-12-24,-8.08312,1,0,0,0
548692991-03-04,-8.98209,1,0,0,0
548692991-04-03,-7.97745,1,0,0,0
548692991-06-12,-0.676082,1,0,0,0
548692991-07-12,-2.4652,1,1,3.393,1
548692991-09-20,1.15554,1,1,38.453,1
548692991-10-20,-1.19391,1,1,74.956,1
548692991-12-29,4.11184,1,0,112.277,0
548692992-01-28,6.30873,1,0,149.78,0
548692992-04-07,12.3597,1,1,296.234,1
548692992-05-07,7.80665,1,1,353.236,1
548692992-07-16,12.2251,1,1,407.528,1
548692992-08-15,38.1665,1,1,458.183,1
548692992-10-24,25.6428,1,1,504.334,1
548692992-11-23,26.8124,1,1,545.194,1
548692993-02-01,21.1013,1,1,636.636,1
548692993-03-03,23.2126,1,1,667.679,1
548692993-05-12,21.8645,1,1,690.963,1
548692993-06-11,22.8173,1,1,706.091,1
548692993-08-20,20.8328,1,1,712.806,1
548692993-09-19,25.7311,1,1,710.993,1
548692993-11-28,20.0136,1,0,737.419,0
548692993-12-28,10.9908,1,1,717.816,1
548692994-03-08,22.4257,1,1,689.794,1
548692994-04-07,13.8668,1,1,653.835,1
548692994-06-16,13.3161,1,1,610.554,1
548692994-07-16,26.3519,1,1,560.693,1
548692994-09-24,18.8958,1,1,453.278,1
548692994-10-24,15.9658,1,1,399.109,1
548692995-01-02,6.71226,1,1,341.582,1
548692995-02-01,9.74418,1,1,281.683,1
548692995-04-12,7.97705,1,1,220.435,1
548692995-05-12,8.81744,1,0,158.889,0
548692995-07-21,5.53856,1,0,31.413,0
548692995-08-20,1.97586,1,0,12.52,0
548692995-10-29,0.848058,1,0,0,0
548692995-11-28,1.00485,1,1,0,1
548692996-02-06,0.488242,1,1,0,1
548692996-03-07,0.636722,1,1,0,1
548692996-05-16,-1.43326,1,1,0,1
548692996-06-15,-4.47267,1,1,0,1
548692996-08-24,-0.828939,1,1,0,1
548692996-09-23,-0.290097,1,1,0,1
548693017-09-24,-2.13191,1,1,0,1
548693017-10-24,-5.52477,1,1,0,1
548693018-01-02,-1.37318,1,1,0,1
548693018-02-01,-5.16283,1,1,0,1
548693018-04-12,-12.6999,1,1,0,1
548693018-05-12,-14.5886,1,1,0,1
548693018-07-21,-12.1709,1,0,0,0
548693018-08-20,-10.5657,1,0,0,0
548693018-10-29,-9.2005,1,1,0,1
548693018-11-28,-7.85291,1,1,6.623,1
548693019-02-06,-5.18708,1,1,61.297,1
548693019-03-08,-2.82234,1,1,118.227,1
548693019-05-17,2.40701,1,1,176.438,1
548693019-06-16,9.52592,1,1,234.935,1
548693019-08-25,10.0128,1,1,387.107,1
548693019-09-24,17.6115,1,1,461.272,1
548693019-12-03,16.8337,1,1,531.918,1
548693020-01-02,19.6167,1,0,597.838,0
548693020-03-12,26.3663,1,1,657.904,1
548693020-04-11,17.6554,1,1,711.091,1
548693020-06-20,34.1497,1,1,806.885,1
548693020-07-20,12.8655,1,1,846.172,1
548693020-09-28,17.142,1,1,875.653,1
548693020-10-28,25.4291,1,1,894.824,1
548693021-01-06,18.2514,1,1,903.359,1
548693021-02-05,16.1756,1,1,901.113,1
548693021-04-16,18.3233,1,1,863.076,1
548693021-05-16,19.645,1,1,840.234,1
548693021-07-25,19.2434,1,1,807.561,1
548693021-08-24,15.682,1,1,765.619,1
548693021-11-02,17.1366,1,1,715.126,1
548693021-12-02,13.2246,1,1,656.946,1
548693022-02-10,11.4514,1,1,484.017,1
548693022-03-12,9.22114,1,1,426.426,1
548693022-05-21,11.7562,1,1,365.259,1
548693022-06-20,6.00875,1,1,301.563,1
548693022-08-29,8.84533,1,1,236.43,1
548693022-09-28,4.09889,1,1,170.974,1
548693022-12-07,4.96686,1,0,32.898,0
548693023-01-06,2.45862,1,0,13.479,0
548693023-03-17,1.88756,1,1,0,1
548693023-04-16,1.25225,1,1,0,1
548693023-06-25,-0.337876,1,1,0,1
548693023-07-25,-0.125439,1,1,0,1
548693023-10-03,-2.47142,1,1,0,1
548693023-11-02,-1.51292,1,1,0,1
548693024-01-11,-2.67491,1,1,0,1
548693024-02-10,-2.71823,1,1,0,1
548693045-02-09,-9.76847,1,1,0,1
548693045-03-11,-2.17989,1,1,0,1
548693045-05-20,-1.23094,1,1,0,1
548693045-06-19,0.441593,1,1,0,1
548693045-08-28,-0.442187,1,0,0,0
548693045-09-27,-10.8276,1,0,0,0
548693045-12-06,-14.6404,1,0,0,0
548693046-01-05,-13.45,1,0,0,0
548693046-03-16,-11.1409,1,0,0,0
548693046-04-15,-6.22504,1,0,7.883,0
548693046-06-24,-4.45035,1,0,62.55,0
548693046-07-24,-0.692377,1,0,119.478,0
548693046-10-02,2.89345,1,0,177.691,0
